2018-11-20 00:21:32.390 [THREAD    1] [DEBUG] Illumina.SpaceDock.SpaceDock                       Configuring Job: {"ReferenceId":"use1-prod:138144045","DockerImageId":"akorobeynikov/spades_test","DockerUserName":"","DockerPassword":"","AccessToken":"[hidden]","ApiUrl":"https://api.basespace.illumina.com","CommandLine":["/home/apps/spades/bin/spades.py","--basespace","/data/input/AppSession.json"],"Options":["LaunchMode=SpotThenOnDemand","bsfs.genomesjsonurl=https://s3.amazonaws.com/use1-prd-seq-hub-appdata/use1-genomes.json"],"IsTimedOut":false}
2018-11-20 00:21:32.949 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.JobExecutorLogic                Prep directories for appsession: {"AppSessionDirPath":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b","AppSessionFilePath":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/input/AppSession.json","Data":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data","Input":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/input","InputOverride":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/input_override","InputCache":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/input_cache","Output":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/output","Scratch":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/scratch","OutputAppResults":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/output/appresults","InputAppResults":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/input/appresults","Runs":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/input/runs","Samples":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/input/samples","OutputSamples":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/output/samples","AppLogs":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/logs","InfrastructureLogs":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/logs","GenomesFolder":"/media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/genomes"}
2018-11-20 00:21:32.956 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AppSessionDirectories           Created /media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/input
2018-11-20 00:21:32.960 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AppSessionDirectories           Created /media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/output
2018-11-20 00:21:32.964 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AppSessionDirectories           Created /media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/scratch
2018-11-20 00:21:32.967 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AppSessionDirectories           Created /media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/logs
2018-11-20 00:21:32.967 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AppSessionDirectories           Created /media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/logs
2018-11-20 00:21:32.970 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AppSessionDirectories           Created /media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/output/appresults
2018-11-20 00:21:32.973 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AppSessionDirectories           Created /media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/input/appresults
2018-11-20 00:21:33.002 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AppSessionDirectories           Created /media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/input/runs
2018-11-20 00:21:33.007 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AppSessionDirectories           Created /media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/input/samples
